,Age,Country,EdLevel,YearsCodePro,RemoteWork,Salary
7022,35-44 years old,Poland,Bachelor’s degree,10.0,Hybrid,51338.0
7024,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,13.0,Remote,63192.0
7028,25-34 years old,Poland,Bachelor’s degree,7.0,Remote,88800.0
7030,35-44 years old,Italy,Post grad,20.0,Hybrid,21756.0
7032,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,Remote,90460.0
7038,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,16.0,Hybrid,152024.0
7044,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,Hybrid,79555.0
7047,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,4.0,Remote,50256.0
7050,25-34 years old,Germany,Master’s degree,10.0,Person,79983.0
7051,25-34 years old,France,Bachelor’s degree,6.0,Hybrid,57588.0
7057,25-34 years old,Austria,Master’s degree,7.0,Hybrid,95979.0
7059,25-34 years old,Germany,Bachelor’s degree,7.0,Hybrid,72518.0
7061,25-34 years old,Netherlands,Bachelor’s degree,3.0,Hybrid,45857.0
7063,35-44 years old,Germany,Post grad,13.0,Person,63984.0
7064,25-34 years old,France,Master’s degree,3.0,Hybrid,63986.0
7066,25-34 years old,Germany,Master’s degree,11.0,Remote,102378.0
7067,25-34 years old,Turkey,Master’s degree,3.0,Hybrid,16536.0
7068,25-34 years old,Switzerland,Post grad,3.0,Remote,113761.0
7072,Over 45,United Kingdom of Great Britain and Northern Ireland,Post grad,25.0,Hybrid,75384.0
7073,25-34 years old,Netherlands,Master’s degree,9.0,Remote,77850.0
7082,Over 45,Italy,Post grad,8.0,Person,21329.0
7084,25-34 years old,Germany,Bachelor’s degree,1.0,Hybrid,43512.0
7085,35-44 years old,Switzerland,Bachelor’s degree,16.0,Hybrid,114180.0
7091,25-34 years old,Russian Federation,Master’s degree,6.0,Remote,33252.0
7096,25-34 years old,"Iran, Islamic Republic of...",Master’s degree,2.0,Person,38292.0
7097,25-34 years old,Austria,Bachelor’s degree,4.0,Person,38388.0
7099,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,2.0,Remote,62820.0
7100,18-24 years old,Poland,Less than a Bachelors,0.5,Hybrid,30063.0
7104,35-44 years old,Italy,Post grad,5.0,Remote,69318.0
7106,35-44 years old,Spain,Bachelor’s degree,10.0,Remote,42657.0
7112,18-24 years old,France,Bachelor’s degree,4.0,Hybrid,31993.0
7115,25-34 years old,Austria,Bachelor’s degree,11.0,Person,46068.0
7116,25-34 years old,Germany,Bachelor’s degree,6.0,Hybrid,63986.0
7119,Over 45,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,30.0,Hybrid,106793.0
7120,18-24 years old,India,Master’s degree,1.0,Person,15792.0
7122,35-44 years old,Poland,Bachelor’s degree,20.0,Remote,44400.0
7132,25-34 years old,Germany,Master’s degree,5.0,Person,55455.0
7135,35-44 years old,Poland,Post grad,18.0,Hybrid,83256.0
7138,35-44 years old,France,Master’s degree,12.0,Hybrid,42657.0
7139,25-34 years old,Poland,Master’s degree,3.0,Hybrid,19428.0
7143,25-34 years old,Italy,Less than a Bachelors,3.0,Remote,30927.0
7147,25-34 years old,India,Master’s degree,4.0,Hybrid,27084.0
7157,35-44 years old,Poland,Bachelor’s degree,4.0,Remote,55500.0
7160,25-34 years old,Spain,Less than a Bachelors,3.0,Person,28794.0
7163,35-44 years old,Czech Republic,Master’s degree,5.0,Remote,46764.0
7165,35-44 years old,Italy,Master’s degree,4.0,Remote,101312.0
7166,25-34 years old,Finland,Bachelor’s degree,4.0,Remote,52980.0
7167,25-34 years old,Germany,Master’s degree,7.0,Remote,89580.0
7168,25-34 years old,Pakistan,Bachelor’s degree,10.0,Person,10776.0
7175,25-34 years old,Switzerland,Master’s degree,9.0,Hybrid,130309.0
7177,25-34 years old,Germany,Master’s degree,8.0,Hybrid,58654.0
7181,25-34 years old,South Africa,Less than a Bachelors,5.0,Remote,24276.0
7182,25-34 years old,Belgium,Master’s degree,8.0,Hybrid,43512.0
7186,25-34 years old,Russian Federation,Post grad,11.0,Hybrid,218198.0
7188,18-24 years old,Netherlands,Bachelor’s degree,4.0,Remote,106644.0
7190,25-34 years old,India,Bachelor’s degree,4.0,Hybrid,25794.0
7192,25-34 years old,Spain,Less than a Bachelors,5.0,Remote,45857.0
7195,25-34 years old,Italy,Master’s degree,3.0,Hybrid,34126.0
7197,25-34 years old,Portugal,Bachelor’s degree,2.0,Remote,31993.0
7199,25-34 years old,Belgium,Master’s degree,4.0,Person,51192.0
7201,25-34 years old,Spain,Less than a Bachelors,8.0,Person,34126.0
7204,25-34 years old,Switzerland,Less than a Bachelors,5.0,Hybrid,82736.0
7212,25-34 years old,Germany,Less than a Bachelors,6.0,Hybrid,60144.0
7214,25-34 years old,Germany,Bachelor’s degree,3.0,Hybrid,62387.0
7218,25-34 years old,India,Master’s degree,7.0,Remote,33275.0
7220,25-34 years old,Denmark,Post grad,5.0,Hybrid,103248.0
7221,25-34 years old,India,Bachelor’s degree,10.0,Person,11604.0
7223,25-34 years old,Germany,Bachelor’s degree,2.0,Hybrid,38388.0
7225,25-34 years old,Israel,Bachelor’s degree,4.0,Remote,147072.0
7233,25-34 years old,United States of America,Master’s degree,11.0,Remote,185000.0
7237,18-24 years old,Greece,Less than a Bachelors,4.0,Person,10236.0
7240,25-34 years old,Sweden,Bachelor’s degree,7.0,Hybrid,51192.0
7244,18-24 years old,Netherlands,Less than a Bachelors,3.0,Hybrid,38388.0
7253,25-34 years old,Czech Republic,Master’s degree,11.0,Person,103932.0
7257,25-34 years old,Austria,Master’s degree,4.0,Hybrid,63984.0
7263,25-34 years old,South Africa,Less than a Bachelors,10.0,Hybrid,48489.0
7268,25-34 years old,Germany,Bachelor’s degree,2.0,Hybrid,53748.0
7269,25-34 years old,Germany,Master’s degree,0.5,Hybrid,44148.0
7271,35-44 years old,Germany,Post grad,12.0,Hybrid,63986.0
7283,25-34 years old,Netherlands,Bachelor’s degree,3.0,Remote,69318.0
7287,25-34 years old,Netherlands,Post grad,10.0,Hybrid,42657.0
7288,35-44 years old,Germany,Bachelor’s degree,19.0,Hybrid,88514.0
7289,25-34 years old,France,Master’s degree,4.0,Hybrid,43724.0
7290,25-34 years old,Spain,Post grad,3.0,Hybrid,41591.0
7291,25-34 years old,Pakistan,Bachelor’s degree,4.0,Hybrid,23940.0
7293,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,6.0,Person,59050.0
7299,25-34 years old,Spain,Master’s degree,4.0,Hybrid,47990.0
7300,25-34 years old,France,Less than a Bachelors,6.0,Hybrid,59720.0
7301,18-24 years old,Czech Republic,Less than a Bachelors,1.0,Hybrid,23388.0
7302,18-24 years old,France,Master’s degree,2.0,Hybrid,36259.0
7304,25-34 years old,Norway,Master’s degree,3.0,Hybrid,67409.0
7305,25-34 years old,Germany,Bachelor’s degree,6.0,Remote,61693.0
7308,18-24 years old,Belgium,Master’s degree,0.5,Hybrid,40308.0
7313,25-34 years old,Spain,Less than a Bachelors,5.0,Remote,60787.0
7315,35-44 years old,Germany,Bachelor’s degree,11.0,Hybrid,79983.0
7321,25-34 years old,Poland,Bachelor’s degree,4.0,Hybrid,36072.0
7324,18-24 years old,France,Master’s degree,2.0,Hybrid,42657.0
7329,35-44 years old,Germany,Less than a Bachelors,0.5,Hybrid,57588.0
7337,25-34 years old,Greece,Bachelor’s degree,5.0,Hybrid,27516.0
7338,25-34 years old,Brazil,Bachelor’s degree,2.0,Remote,42657.0
7342,25-34 years old,Germany,Bachelor’s degree,14.0,Hybrid,65053.0
7346,35-44 years old,Germany,Master’s degree,10.0,Hybrid,72518.0
7354,35-44 years old,Germany,Master’s degree,23.0,Hybrid,115175.0
7355,Over 45,Canada,Post grad,13.0,Hybrid,175689.0
7365,Over 45,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,18.0,Remote,59050.0
7367,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,18.0,Person,41461.0
7368,25-34 years old,Russian Federation,Master’s degree,7.0,Remote,41556.0
7371,25-34 years old,France,Bachelor’s degree,7.0,Hybrid,63986.0
7372,18-24 years old,Germany,Less than a Bachelors,2.0,Hybrid,14712.0
7381,25-34 years old,Germany,Bachelor’s degree,8.0,Remote,69318.0
7384,18-24 years old,Portugal,Bachelor’s degree,0.5,Hybrid,19409.0
7387,Over 45,United Kingdom of Great Britain and Northern Ireland,Master’s degree,22.0,Remote,72871.0
7392,25-34 years old,Poland,Bachelor’s degree,8.0,Remote,58272.0
7394,25-34 years old,Germany,Master’s degree,6.0,Remote,90647.0
7396,18-24 years old,Netherlands,Master’s degree,1.0,Hybrid,34548.0
7398,18-24 years old,Netherlands,Master’s degree,5.0,Hybrid,44796.0
7401,25-34 years old,India,Bachelor’s degree,12.0,Person,21925.0
7403,18-24 years old,Israel,Less than a Bachelors,1.0,Hybrid,50220.0
7416,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,6.0,Hybrid,188459.0
7420,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,3.0,Hybrid,75384.0
7422,25-34 years old,Italy,Post grad,6.0,Hybrid,37325.0
7424,25-34 years old,France,Master’s degree,6.0,Hybrid,53322.0
7427,25-34 years old,Germany,Less than a Bachelors,6.0,Hybrid,46068.0
7429,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,14.0,Hybrid,65332.0
7433,25-34 years old,France,Master’s degree,7.0,Hybrid,52255.0
7434,35-44 years old,Germany,Less than a Bachelors,12.0,Hybrid,85315.0
7436,35-44 years old,Netherlands,Master’s degree,11.0,Hybrid,44796.0
7439,25-34 years old,Russian Federation,Master’s degree,12.0,Remote,29088.0
7443,25-34 years old,India,Bachelor’s degree,4.0,Person,15480.0
7444,35-44 years old,Germany,Master’s degree,10.0,Remote,101312.0
7447,25-34 years old,Germany,Bachelor’s degree,5.0,Remote,59720.0
7448,18-24 years old,Russian Federation,Bachelor’s degree,2.0,Person,27012.0
7456,25-34 years old,Germany,Less than a Bachelors,6.0,Hybrid,74651.0
7458,25-34 years old,Austria,Master’s degree,5.0,Hybrid,106644.0
7463,25-34 years old,Finland,Master’s degree,8.0,Hybrid,95976.0
7470,25-34 years old,Germany,Less than a Bachelors,4.0,Remote,45857.0
7474,35-44 years old,Czech Republic,Bachelor’s degree,16.0,Hybrid,25980.0
7477,25-34 years old,New Zealand,Bachelor’s degree,5.0,Hybrid,64333.0
7479,25-34 years old,Germany,Less than a Bachelors,6.0,Remote,74651.0
7480,18-24 years old,Italy,Less than a Bachelors,4.0,Hybrid,27900.0
7484,25-34 years old,India,Bachelor’s degree,5.0,Hybrid,83832.0
7485,18-24 years old,Australia,Master’s degree,0.5,Remote,77848.0
7494,Over 45,Germany,Less than a Bachelors,20.0,Remote,85315.0
7496,35-44 years old,Portugal,Master’s degree,5.0,Remote,106644.0
7499,25-34 years old,Italy,Bachelor’s degree,1.0,Person,45821.0
7503,25-34 years old,France,Post grad,4.0,Hybrid,27648.0
7504,25-34 years old,Poland,Master’s degree,3.0,Person,27756.0
7511,Over 45,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,25.0,Remote,69102.0
7512,25-34 years old,Norway,Master’s degree,5.0,Hybrid,81409.0
7520,35-44 years old,Norway,Bachelor’s degree,20.0,Hybrid,93335.0
7521,Over 45,Denmark,Less than a Bachelors,25.0,Hybrid,129048.0
7524,25-34 years old,Germany,Master’s degree,6.0,Hybrid,88514.0
7528,Over 45,Germany,Master’s degree,27.0,Remote,79983.0
7530,25-34 years old,Germany,Master’s degree,1.0,Hybrid,59720.0
7532,35-44 years old,France,Post grad,18.0,Person,62920.0
7536,Over 45,Portugal,Master’s degree,22.0,Remote,53322.0
7537,25-34 years old,Poland,Master’s degree,11.0,Remote,74928.0
7539,25-34 years old,Russian Federation,Master’s degree,5.0,Remote,62400.0
7541,Over 45,Switzerland,Post grad,16.0,Remote,118932.0
7546,25-34 years old,Portugal,Master’s degree,1.0,Hybrid,16632.0
7550,Over 45,Italy,Master’s degree,25.0,Person,39672.0
7551,Over 45,Germany,Master’s degree,18.0,Hybrid,76788.0
7553,35-44 years old,India,Master’s degree,15.0,Person,33533.0
7554,18-24 years old,Poland,Less than a Bachelors,0.5,Hybrid,14450.0
7556,25-34 years old,Spain,Post grad,5.0,Hybrid,44790.0
7557,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,14.0,Hybrid,125639.0
7561,18-24 years old,Austria,Bachelor’s degree,5.0,Hybrid,43512.0
7564,25-34 years old,Greece,Master’s degree,7.0,Person,47990.0
7567,35-44 years old,India,Bachelor’s degree,15.0,Hybrid,36693.0
7571,25-34 years old,Austria,Master’s degree,4.0,Hybrid,52255.0
7576,18-24 years old,Spain,Bachelor’s degree,3.0,Remote,26661.0
7580,25-34 years old,Spain,Master’s degree,8.0,Person,58654.0
7585,18-24 years old,Germany,Less than a Bachelors,4.0,Person,51192.0
7593,25-34 years old,Belgium,Bachelor’s degree,4.0,Hybrid,42228.0
7596,25-34 years old,Portugal,Bachelor’s degree,6.0,Hybrid,41591.0
7597,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,5.0,Hybrid,40205.0
7598,35-44 years old,Netherlands,Bachelor’s degree,10.0,Hybrid,95979.0
7599,25-34 years old,South Africa,Bachelor’s degree,10.0,Person,41724.0
7602,25-34 years old,Italy,Bachelor’s degree,1.0,Person,22395.0
7603,35-44 years old,France,Less than a Bachelors,15.0,Hybrid,26688.0
7604,25-34 years old,Pakistan,Master’s degree,5.0,Remote,22140.0
7606,25-34 years old,Germany,Master’s degree,8.0,Person,63986.0
7614,18-24 years old,Portugal,Master’s degree,1.0,Hybrid,18552.0
7619,25-34 years old,France,Post grad,7.0,Hybrid,31992.0
7631,Over 45,Germany,Post grad,13.0,Hybrid,72518.0
7635,35-44 years old,Spain,Less than a Bachelors,16.0,Hybrid,74651.0
7641,25-34 years old,Italy,Bachelor’s degree,8.0,Remote,53322.0
7644,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,13.0,Remote,129409.0
7652,35-44 years old,Portugal,Master’s degree,9.0,Remote,29436.0
7655,18-24 years old,Portugal,Bachelor’s degree,1.0,Remote,15997.0
7657,18-24 years old,Germany,Less than a Bachelors,2.0,Hybrid,12924.0
7659,25-34 years old,Switzerland,Bachelor’s degree,6.0,Hybrid,83892.0
7668,35-44 years old,Poland,Bachelor’s degree,12.0,Person,44400.0
7673,25-34 years old,Poland,Less than a Bachelors,7.0,Remote,97128.0
7675,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,7.0,Hybrid,94230.0
7681,Over 45,Spain,Less than a Bachelors,22.0,Remote,53322.0
7682,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,3.0,Hybrid,50256.0
7684,Over 45,Germany,Master’s degree,25.0,Hybrid,117308.0
7687,25-34 years old,Italy,Less than a Bachelors,9.0,Hybrid,41591.0
7690,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,18.0,Hybrid,125639.0
7694,25-34 years old,Italy,Master’s degree,2.0,Hybrid,31993.0
7696,25-34 years old,Netherlands,Bachelor’s degree,6.0,Person,79983.0
7697,25-34 years old,Finland,Master’s degree,6.0,Hybrid,58872.0
7703,35-44 years old,Netherlands,Master’s degree,9.0,Hybrid,65268.0
7706,25-34 years old,India,Bachelor’s degree,7.0,Remote,14058.0
7713,18-24 years old,Poland,Bachelor’s degree,5.0,Hybrid,25812.0
7717,Over 45,United States of America,Post grad,32.0,Remote,180000.0
7719,25-34 years old,France,Master’s degree,7.0,Person,58654.0
7726,18-24 years old,Netherlands,Bachelor’s degree,1.0,Person,36046.0
7727,25-34 years old,Finland,Bachelor’s degree,6.0,Hybrid,49908.0
7729,25-34 years old,Germany,Master’s degree,4.0,Remote,66120.0
7735,25-34 years old,Russian Federation,Less than a Bachelors,10.0,Hybrid,56112.0
7738,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,Remote,37692.0
7742,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,6.0,Person,37692.0
7748,25-34 years old,Norway,Master’s degree,0.5,Hybrid,59112.0
7752,25-34 years old,Netherlands,Bachelor’s degree,10.0,Hybrid,63288.0
7758,25-34 years old,Italy,Master’s degree,2.0,Person,31993.0
7759,25-34 years old,Belgium,Master’s degree,3.0,Person,38388.0
7760,35-44 years old,India,Bachelor’s degree,17.0,Remote,96729.0
7761,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,Hybrid,47743.0
7764,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,4.0,Hybrid,57794.0
7770,Over 45,Israel,Master’s degree,26.0,Hybrid,179352.0
7772,Over 45,France,Post grad,27.0,Person,31993.0
7779,35-44 years old,Germany,Bachelor’s degree,11.0,Remote,141836.0
7784,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,5.0,Remote,56538.0
7787,25-34 years old,Turkey,Bachelor’s degree,5.0,Hybrid,15032.0
7791,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,19.0,Remote,131921.0
7793,18-24 years old,Norway,Bachelor’s degree,1.0,Hybrid,82964.0
7797,25-34 years old,Switzerland,Post grad,3.0,Hybrid,108590.0
7798,Over 45,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,25.0,Remote,52769.0
7799,Over 45,Germany,Bachelor’s degree,24.0,Hybrid,127972.0
7803,25-34 years old,India,Bachelor’s degree,7.0,Hybrid,41271.0
7804,25-34 years old,Italy,Master’s degree,6.0,Person,90647.0
7805,25-34 years old,Netherlands,Less than a Bachelors,3.0,Hybrid,38392.0
7806,25-34 years old,Spain,Master’s degree,5.0,Hybrid,60787.0
7814,18-24 years old,Netherlands,Master’s degree,0.5,Person,31992.0
7818,25-34 years old,Austria,Master’s degree,9.0,Remote,84249.0
7822,25-34 years old,Germany,Bachelor’s degree,11.0,Remote,46068.0
7829,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,7.0,Hybrid,54025.0
7830,25-34 years old,France,Master’s degree,3.0,Hybrid,38388.0
7831,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,6.0,Hybrid,69102.0
7834,35-44 years old,Brazil,Master’s degree,14.0,Remote,37392.0
7835,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,4.0,Remote,100511.0
7838,35-44 years old,Spain,Post grad,1.0,Remote,16850.0
7839,25-34 years old,India,Bachelor’s degree,6.0,Hybrid,29019.0
7840,18-24 years old,Poland,Less than a Bachelors,4.0,Hybrid,28440.0
7844,25-34 years old,India,Bachelor’s degree,7.0,Hybrid,23215.0
7845,35-44 years old,Germany,Post grad,4.0,Hybrid,85315.0
7846,Over 45,Germany,Master’s degree,25.0,Remote,133305.0
7847,35-44 years old,United States of America,Post grad,5.0,Person,59000.0
7850,25-34 years old,Pakistan,Bachelor’s degree,9.0,Hybrid,17952.0
7851,25-34 years old,India,Bachelor’s degree,6.0,Hybrid,29664.0
7854,35-44 years old,United States of America,Master’s degree,18.0,Remote,112000.0
7859,Over 45,United Kingdom of Great Britain and Northern Ireland,Master’s degree,25.0,Remote,194741.0
7862,Over 45,United States of America,Less than a Bachelors,8.0,Person,72000.0
7863,25-34 years old,Germany,Master’s degree,3.0,Remote,37620.0
7866,25-34 years old,Finland,Master’s degree,4.0,Remote,31992.0
7867,35-44 years old,South Africa,Bachelor’s degree,24.0,Remote,89771.0
7868,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,6.0,Hybrid,213587.0
7873,18-24 years old,France,Master’s degree,2.0,Hybrid,50123.0
7874,25-34 years old,Greece,Bachelor’s degree,5.0,Hybrid,25596.0
7876,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,1.0,Remote,37692.0
7883,25-34 years old,France,Master’s degree,7.0,Hybrid,67186.0
7888,35-44 years old,Germany,Master’s degree,17.0,Hybrid,93846.0
7893,35-44 years old,Germany,Bachelor’s degree,7.0,Person,69318.0
7895,25-34 years old,Netherlands,Less than a Bachelors,6.0,Person,38388.0
7896,25-34 years old,Netherlands,Bachelor’s degree,10.0,Hybrid,57588.0
7902,Over 45,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,28.0,Remote,94230.0
7906,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,Hybrid,175895.0
7907,25-34 years old,Germany,Bachelor’s degree,15.0,Remote,70385.0
7910,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,Remote,94230.0
7911,25-34 years old,Brazil,Bachelor’s degree,6.0,Remote,44868.0
7912,25-34 years old,Czech Republic,Less than a Bachelors,12.0,Hybrid,90936.0
7914,25-34 years old,Portugal,Master’s degree,10.0,Hybrid,70918.0
7915,35-44 years old,United States of America,Bachelor’s degree,13.0,Remote,210000.0
7916,25-34 years old,Russian Federation,Bachelor’s degree,4.0,Remote,24516.0
7923,25-34 years old,Netherlands,Master’s degree,5.0,Hybrid,61853.0
7925,25-34 years old,Belgium,Less than a Bachelors,4.0,Hybrid,25596.0
7929,35-44 years old,Mexico,Bachelor’s degree,18.0,Remote,84300.0
7936,25-34 years old,Poland,Master’s degree,5.0,Remote,43008.0
7938,25-34 years old,Israel,Bachelor’s degree,6.0,Hybrid,134520.0
7940,Over 45,Sweden,Master’s degree,25.0,Remote,154164.0
7948,25-34 years old,France,Master’s degree,8.0,Person,61853.0
7954,25-34 years old,Australia,Post grad,1.0,Hybrid,59448.0
7958,25-34 years old,Turkey,Bachelor’s degree,3.0,Hybrid,11280.0
7964,35-44 years old,Germany,Master’s degree,11.0,Remote,79983.0
7965,25-34 years old,Brazil,Less than a Bachelors,6.0,Hybrid,58165.0
7967,Over 45,Russian Federation,Less than a Bachelors,31.0,Remote,41556.0
7976,25-34 years old,Russian Federation,Master’s degree,12.0,Person,166248.0
7982,35-44 years old,Switzerland,Bachelor’s degree,14.0,Hybrid,111176.0
7989,Over 45,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,27.0,Remote,143232.0
7990,35-44 years old,Greece,Bachelor’s degree,19.0,Hybrid,20902.0
7992,35-44 years old,Belgium,Master’s degree,14.0,Hybrid,91906.0
7993,25-34 years old,Italy,Less than a Bachelors,10.0,Person,28152.0
7998,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,8.0,Hybrid,46487.0
7999,25-34 years old,Spain,Master’s degree,8.0,Remote,66119.0
8001,25-34 years old,Switzerland,Master’s degree,5.0,Remote,113761.0
8004,25-34 years old,Czech Republic,Master’s degree,6.0,Hybrid,31176.0
8015,25-34 years old,Pakistan,Bachelor’s degree,4.0,Person,17455.0
8020,25-34 years old,India,Bachelor’s degree,5.0,Remote,32243.0
8021,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,18.0,Remote,100511.0
8022,25-34 years old,Norway,Bachelor’s degree,2.0,Hybrid,67409.0
8024,35-44 years old,Switzerland,Bachelor’s degree,16.0,Person,98248.0
8025,18-24 years old,France,Master’s degree,2.0,Hybrid,37325.0
8026,25-34 years old,Finland,Less than a Bachelors,15.0,Hybrid,63984.0
8031,Over 45,United States of America,Bachelor’s degree,30.0,Remote,140000.0
8036,18-24 years old,Netherlands,Less than a Bachelors,4.0,Hybrid,47990.0
8037,25-34 years old,Germany,Less than a Bachelors,4.0,Person,40308.0
8040,25-34 years old,Denmark,Post grad,2.0,Hybrid,108408.0
8042,35-44 years old,Portugal,Master’s degree,15.0,Hybrid,53322.0
8044,35-44 years old,Poland,Post grad,11.0,Hybrid,69375.0
8045,25-34 years old,Switzerland,Bachelor’s degree,15.0,Person,130309.0
8047,Over 45,Australia,Bachelor’s degree,27.0,Remote,212313.0
8051,35-44 years old,Germany,Master’s degree,10.0,Remote,64104.0
8058,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Post grad,9.0,Hybrid,51420.0
8062,25-34 years old,Israel,Post grad,4.0,Hybrid,155443.0
8069,18-24 years old,Israel,Less than a Bachelors,3.0,Remote,62200.0
8070,25-34 years old,United States of America,Less than a Bachelors,11.0,Remote,150000.0
8073,35-44 years old,Portugal,Bachelor’s degree,10.0,Hybrid,38688.0
8074,18-24 years old,France,Master’s degree,2.0,Person,36259.0
8075,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,11.0,Remote,62820.0
8077,25-34 years old,Israel,Less than a Bachelors,11.0,Hybrid,139896.0
8079,18-24 years old,Sweden,Master’s degree,0.5,Hybrid,44496.0
8080,25-34 years old,Germany,Master’s degree,4.0,Remote,68340.0
8083,25-34 years old,France,Master’s degree,3.0,Person,19836.0
8084,35-44 years old,Norway,Master’s degree,16.0,Hybrid,134817.0
8086,35-44 years old,Germany,Master’s degree,10.0,Remote,98112.0
8095,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,21.0,Remote,119357.0
8101,25-34 years old,Germany,Post grad,6.0,Hybrid,74651.0
8102,25-34 years old,Sweden,Bachelor’s degree,7.0,Hybrid,54852.0
8105,35-44 years old,Germany,Master’s degree,2.0,Person,55455.0
8106,18-24 years old,India,Bachelor’s degree,2.0,Hybrid,15480.0
8108,25-34 years old,Italy,Post grad,5.0,Hybrid,35832.0
8112,35-44 years old,"Iran, Islamic Republic of...",Less than a Bachelors,18.0,Remote,36876.0
8119,25-34 years old,India,Master’s degree,6.0,Hybrid,15480.0
8121,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,5.0,Hybrid,73813.0
8127,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,8.0,Hybrid,95486.0
8129,25-34 years old,France,Master’s degree,4.0,Hybrid,44790.0
8134,25-34 years old,Czech Republic,Master’s degree,6.0,Hybrid,25980.0
8137,25-34 years old,Germany,Less than a Bachelors,12.0,Remote,40956.0
8149,25-34 years old,South Africa,Less than a Bachelors,7.0,Remote,15168.0
8153,25-34 years old,Poland,Master’s degree,4.0,Remote,50875.0
8154,25-34 years old,South Africa,Less than a Bachelors,5.0,Hybrid,22000.0
8155,35-44 years old,Portugal,Master’s degree,9.0,Remote,140000.0
8159,18-24 years old,Russian Federation,Post grad,0.5,Person,20784.0
8161,35-44 years old,Finland,Master’s degree,25.0,Remote,159966.0
8163,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,6.0,Person,43974.0
8167,35-44 years old,Canada,Master’s degree,6.0,Remote,70276.0
8168,18-24 years old,Germany,Master’s degree,5.0,Hybrid,64146.0
8170,35-44 years old,Germany,Post grad,15.0,Hybrid,85315.0
8172,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,17.0,Hybrid,97999.0
8174,25-34 years old,India,Bachelor’s degree,12.0,Person,21925.0
8177,25-34 years old,Germany,Bachelor’s degree,4.0,Hybrid,63986.0
8182,25-34 years old,Germany,Less than a Bachelors,12.0,Hybrid,63986.0
8199,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,15.0,Hybrid,67845.0
8200,Over 45,United States of America,Less than a Bachelors,25.0,Remote,150000.0
8204,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Post grad,12.0,Remote,73499.0
8207,35-44 years old,Czech Republic,Less than a Bachelors,12.0,Hybrid,51960.0
8217,Over 45,Germany,Less than a Bachelors,32.0,Hybrid,149301.0
